epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6217,2.23568,4.07353,1.25977,0.67468,0.07929,0.0615,0.03459,2.20559,3.0364,1.13971,0.000194559,0.000194559,0.000194559
2,129.42,2.28482,3.0689,1.15468,0.63094,0.09767,0.08381,0.04482,2.2069,2.45531,1.09936,0.000388626,0.000388626,0.000388626
3,187.277,2.20732,2.62201,1.11919,0.57131,0.12386,0.12522,0.06986,2.04466,2.16369,1.09687,0.000580752,0.000580752,0.000580752
4,241.377,2.1585,2.3582,1.11008,0.36377,0.16055,0.13109,0.0759,2.01068,2.00313,1.07563,0.000579268,0.000579268,0.000579268
5,298.165,2.08809,2.19758,1.09505,0.44659,0.18104,0.14186,0.07851,2.04212,1.9467,1.07427,0.000576358,0.000576358,0.000576358
6,357.025,2.0685,2.12536,1.0762,0.4671,0.20269,0.15595,0.0889,1.92956,1.83045,1.05045,0.000573447,0.000573447,0.000573447
7,443.253,2.03065,2.0207,1.07238,0.57397,0.21461,0.17207,0.09713,1.927,1.75897,1.04779,0.000570536,0.000570536,0.000570536
8,503.334,2.01492,1.98918,1.05758,0.57763,0.22495,0.19772,0.11765,1.95881,1.74637,1.05163,0.000567626,0.000567626,0.000567626
9,564.75,1.95158,1.88482,1.05695,0.52122,0.27682,0.22774,0.14351,1.86485,1.6795,1.03281,0.000564715,0.000564715,0.000564715
10,621.865,1.89141,1.85397,1.04623,0.48267,0.27958,0.23653,0.14535,1.85738,1.63723,1.02743,0.000561805,0.000561805,0.000561805
11,686.681,1.90661,1.7977,1.04221,0.55809,0.28502,0.23348,0.14254,1.88797,1.68099,1.03386,0.000558894,0.000558894,0.000558894
12,757.88,1.90527,1.78828,1.0426,0.58844,0.30878,0.30336,0.19906,1.81954,1.58821,1.01884,0.000555983,0.000555983,0.000555983
13,836.321,1.89949,1.72867,1.04167,0.63646,0.31028,0.30802,0.19787,1.88659,1.58515,1.03132,0.000553073,0.000553073,0.000553073
14,901.734,1.87127,1.72636,1.03927,0.58564,0.30664,0.33299,0.21828,1.7892,1.52242,1.01709,0.000550162,0.000550162,0.000550162
15,954.87,1.88307,1.69792,1.03522,0.6329,0.30151,0.32706,0.21337,1.81508,1.5422,1.0232,0.000547252,0.000547252,0.000547252
16,1013.47,1.87515,1.67777,1.03301,0.59652,0.32971,0.31904,0.20754,1.75474,1.47992,1.00116,0.000544341,0.000544341,0.000544341
17,1069.18,1.83176,1.65681,1.02294,0.52869,0.35119,0.35681,0.23446,1.80171,1.47673,1.01093,0.00054143,0.00054143,0.00054143
18,1125.19,1.84448,1.6336,1.02029,0.58437,0.32417,0.35285,0.22927,1.7752,1.47915,1.00977,0.00053852,0.00053852,0.00053852
19,1181.98,1.80752,1.60088,1.0184,0.53214,0.39243,0.38232,0.25346,1.74282,1.45175,0.99957,0.000535609,0.000535609,0.000535609
20,1248.06,1.82492,1.56445,1.01548,0.66632,0.36275,0.39555,0.26616,1.73914,1.42722,1.00125,0.000532699,0.000532699,0.000532699
21,1305.74,1.79191,1.5679,1.01189,0.63438,0.38474,0.37221,0.24389,1.74479,1.43991,0.99949,0.000529788,0.000529788,0.000529788
22,1366.06,1.7993,1.53424,1.00741,0.51101,0.39699,0.40647,0.27338,1.73698,1.38487,0.99934,0.000526877,0.000526877,0.000526877
23,1424.09,1.78164,1.50432,1.00652,0.42241,0.44243,0.4069,0.27164,1.71345,1.37395,0.99181,0.000523967,0.000523967,0.000523967
24,1481.94,1.79819,1.51874,1.00305,0.54011,0.40003,0.41678,0.27398,1.76988,1.3875,0.99882,0.000521056,0.000521056,0.000521056
25,1534.79,1.76834,1.46686,0.9996,0.63145,0.3906,0.45445,0.30237,1.69152,1.33438,0.98783,0.000518146,0.000518146,0.000518146
26,1591.15,1.76535,1.46613,1.0015,0.55818,0.42517,0.4456,0.29775,1.70749,1.36322,0.99117,0.000515235,0.000515235,0.000515235
27,1656.05,1.72873,1.43055,0.99702,0.50596,0.46668,0.47594,0.31851,1.69654,1.32278,0.99017,0.000512324,0.000512324,0.000512324
28,1713.97,1.73191,1.44293,0.99376,0.55261,0.45321,0.49694,0.33748,1.69248,1.31199,0.98516,0.000509414,0.000509414,0.000509414
29,1776.31,1.73307,1.42448,0.99165,0.61937,0.44697,0.48255,0.32194,1.68214,1.32239,0.98663,0.000506503,0.000506503,0.000506503
30,1844.4,1.72845,1.40363,0.99219,0.55428,0.44814,0.48727,0.32646,1.68715,1.31129,0.98803,0.000503593,0.000503593,0.000503593
31,1898.11,1.73292,1.3979,0.98702,0.53731,0.49498,0.50295,0.34548,1.66292,1.27319,0.98018,0.000500682,0.000500682,0.000500682
32,1962.09,1.70309,1.38241,0.99029,0.58322,0.45135,0.48864,0.33226,1.68207,1.27892,0.97992,0.000497771,0.000497771,0.000497771
33,2028.02,1.68868,1.36118,0.98737,0.58403,0.48791,0.51756,0.35399,1.66891,1.26574,0.98147,0.000494861,0.000494861,0.000494861
34,2085.86,1.70806,1.36701,0.98522,0.54045,0.4885,0.50743,0.33572,1.69223,1.29961,0.98613,0.00049195,0.00049195,0.00049195
35,2146.71,1.70615,1.36871,0.98145,0.56878,0.51041,0.52526,0.36203,1.63601,1.26473,0.97286,0.00048904,0.00048904,0.00048904
36,2207.82,1.71537,1.3449,0.98374,0.6089,0.48228,0.52582,0.35443,1.63895,1.25955,0.97925,0.000486129,0.000486129,0.000486129
37,2279.8,1.65985,1.32437,0.97286,0.5799,0.50231,0.52886,0.35782,1.64648,1.24278,0.97533,0.000483218,0.000483218,0.000483218
38,2333.13,1.6829,1.31818,0.97859,0.66133,0.47086,0.51984,0.35097,1.64223,1.28971,0.97673,0.000480308,0.000480308,0.000480308
39,2388.8,1.68853,1.3118,0.97582,0.53867,0.52013,0.52958,0.36294,1.64607,1.2281,0.97503,0.000477397,0.000477397,0.000477397
40,2450.79,1.66875,1.29555,0.97508,0.64072,0.49041,0.53126,0.36185,1.6608,1.23187,0.97483,0.000474487,0.000474487,0.000474487
41,2503.99,1.66123,1.27598,0.97335,0.63453,0.52956,0.55651,0.38067,1.66674,1.21773,0.97624,0.000471576,0.000471576,0.000471576
42,2556.07,1.67351,1.27653,0.97856,0.6402,0.51312,0.56777,0.3859,1.64995,1.21106,0.97019,0.000468665,0.000468665,0.000468665
43,2629.05,1.66085,1.27634,0.97648,0.61559,0.55006,0.57474,0.39704,1.63144,1.1773,0.97002,0.000465755,0.000465755,0.000465755
44,2691.64,1.66815,1.26672,0.97261,0.63917,0.51112,0.56281,0.38296,1.6803,1.21178,0.97147,0.000462844,0.000462844,0.000462844
