epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.054,2.14109,4.30156,1.27272,0.02067,0.09034,0.03119,0.01816,2.24496,4.15227,1.11378,0.000190235,0.000190235,0.000190235
2,540.728,2.2421,3.27868,1.13113,0.04712,0.14682,0.06296,0.03461,2.08124,3.3616,1.12173,0.000382412,0.000382412,0.000382412
3,1057.78,2.26662,2.75943,1.09976,0.56558,0.10572,0.09613,0.05011,2.12353,2.37916,1.07348,0.000570707,0.000570707,0.000570707
4,1363.06,2.16365,2.49953,1.09028,0.49831,0.12287,0.10483,0.05783,2.06352,2.3066,1.09967,0.000570536,0.000570536,0.000570536
5,1981.23,2.07961,2.19834,1.06893,0.60878,0.1397,0.13087,0.07379,2.01498,2.15222,1.07249,0.000564715,0.000564715,0.000564715
6,2254.93,2.10026,2.11894,1.05345,0.43969,0.16864,0.13476,0.08046,1.97166,2.00267,1.0634,0.000558894,0.000558894,0.000558894
7,2612.07,1.98228,1.96597,1.04451,0.62252,0.17269,0.15479,0.08986,1.93228,1.90039,1.04538,0.000553073,0.000553073,0.000553073
8,3170.09,1.96383,1.89377,1.02922,0.4322,0.24487,0.20438,0.12779,1.9102,1.83926,1.03857,0.000547252,0.000547252,0.000547252
9,3459.26,1.93625,1.80472,1.02572,0.5819,0.20763,0.19651,0.12168,1.89429,1.83419,1.02761,0.00054143,0.00054143,0.00054143
10,3904.58,1.9413,1.79482,1.02072,0.54982,0.25912,0.2283,0.13753,1.90594,1.65368,1.05352,0.000535609,0.000535609,0.000535609
11,4208.37,1.90239,1.73256,1.02271,0.55962,0.28519,0.23872,0.15018,1.84839,1.6048,1.02572,0.000529788,0.000529788,0.000529788
12,4523.76,1.84613,1.67087,1.01393,0.5834,0.31459,0.29724,0.18984,1.82668,1.57846,1.01314,0.000523967,0.000523967,0.000523967
13,4806.22,1.85464,1.63261,1.01572,0.4985,0.29159,0.2981,0.1929,1.84349,1.59689,1.01723,0.000518146,0.000518146,0.000518146
14,5013.49,1.85863,1.59582,1.01254,0.56251,0.335,0.30026,0.19105,1.76303,1.52208,1.00618,0.000512324,0.000512324,0.000512324
15,5298.22,1.84444,1.56931,1.00711,0.59977,0.34311,0.33676,0.21756,1.77389,1.47288,1.00628,0.000506503,0.000506503,0.000506503
16,5512.89,1.84342,1.55899,1.00296,0.54269,0.3448,0.34063,0.22453,1.72642,1.41524,1.00268,0.000500682,0.000500682,0.000500682
17,5922.86,1.78238,1.51974,0.98864,0.64154,0.33258,0.34435,0.22402,1.70919,1.40057,0.98846,0.000494861,0.000494861,0.000494861
18,6498.17,1.79766,1.49794,0.99185,0.5565,0.36927,0.37035,0.23508,1.78314,1.41517,1.00742,0.00048904,0.00048904,0.00048904
19,6773.23,1.76612,1.47617,0.98339,0.55066,0.36394,0.38207,0.24242,1.72513,1.39231,0.98984,0.000483218,0.000483218,0.000483218
20,7307.37,1.79039,1.48509,0.98544,0.48633,0.37937,0.37963,0.25245,1.6884,1.366,0.98203,0.000477397,0.000477397,0.000477397
